1.55e-05,103.34,-1.2066,-0.97062,-17892,33812
1.1896e-06,131.09,-1.4753,1.4042,-1356.3,-37577
-2.0767e-05,162.28,0.70736,1.123,11993,14524
9.2041e-06,132.59,-1.431,-1.1538,-9673,33397
1.6476e-05,62.695,-1.1209,-0.9835,-29789,52251
3.2591e-05,9.6218,0.26263,0.1763,-25097,-5350.4
-1.6891e-05,55.755,0.98393,1.107,34102,57889
-3.142e-05,10.908,-0.31088,-0.37445,50444,-17817
-2.1626e-05,36.043,0.81783,0.92006,51047,59722
-2.7523e-05,25.397,-0.56067,-0.64385,52229,-35552
1.2343e-05,218.39,1.4382,0.97116,-7390.7,-17946
2.2476e-05,36.619,0.88376,0.78116,-49854,-54511
-2.8821e-05,28.992,-0.48187,-0.58657,40833,-23606
-3.1656e-05,12.342,0.28344,0.35676,41473,13589
-1.9061e-05,69.473,0.8849,1.055,27969,39894
-2.2167e-05,55.041,-0.77434,-0.92243,34098,-38128
-8.7231e-06,86.694,-1.2127,-1.4003,13968,-51146
2.2017e-05,106.29,0.99658,0.7194,-17838,-19971
2.285e-05,38.609,-0.87514,-0.76681,-46382,49133
-3.0008e-05,17.726,-0.40989,-0.48659,49815,-23968
-1.9938e-05,53.06,-0.86634,-0.99174,36306,-48501
3.3334e-05,-0.58212,0.0087693,0.0044064,-19621,-89.227
-3.3086e-05,2.1489,0.10071,0.14558,24259,2840.9
3.3329e-05,0.15063,0.013486,0.012458,-58607,-741.35
-1.0115e-05,111.25,1.141,1.3801,12328,38365
-2.9712e-05,31.957,-0.40348,-0.54793,28536,-14331
1.9987e-05,42.883,-0.98767,-0.87477,-44622,59475
1.3598e-05,88.679,-1.2519,-1.0564,-19553,43478
2.4808e-05,41.753,0.79867,0.67745,-39259,-35068
3.2668e-05,7.7364,-0.23235,-0.16765,-29461,5905.7
2.7734e-05,27.521,-0.64598,-0.54412,-44464,29542
-1.1116e-05,129.92,1.096,1.3773,11426,31958
-3.1854e-05,10.196,0.26681,0.32655,44699,13652
-1.2565e-07,108.9,-1.4529,1.4648,160.17,-45432
-2.3927e-05,32.549,-0.72433,-0.81517,57239,-55315
-1.6113e-06,89.785,1.4302,-1.527,2656.2,55125
-6.6663e-06,108.24,-1.2545,-1.4832,8910.7,-43385
-2.1587e-05,46.068,0.80898,0.93177,41309,48453
-3.1446e-05,14.579,0.29621,0.38485,37229,12973
-4.3574e-06,123.41,-1.3154,-1.5681,5205.1,-39112
-2.6681e-05,33.907,-0.58363,-0.70423,41125,-30606
-5.4754e-06,101.21,-1.3066,-1.5053,7936.2,-47491
2.4405e-05,28.537,-0.79171,-0.70818,-59480,55313
1.2584e-05,82.379,1.2717,1.1023,-19709,-48133
-1.6044e-05,63.454,1.0018,1.1399,29595,53733
-1.8843e-05,84.59,0.8741,1.071,23330,33785
2.5259e-05,80.29,-0.83594,-0.59742,-20746,17560
9.8441e-06,116.41,-1.3952,-1.154,-11615,37290
-3.3114e-05,0.35485,0.102,0.12381,47642,5393.5
-1.584e-05,71.944,1.0004,1.1602,25986,47872
-2.0239e-05,51.565,-0.85255,-0.9888,36144,-47166
3.332e-05,-0.46796,-0.032272,-0.031614,-53940,1710.2
-1.6448e-06,90.106,1.4303,-1.5268,2761,55547
-8.0277e-06,104.63,-1.2217,-1.4395,10824,-43356
2.5933e-05,60.578,-0.77994,-0.59329,-25630,20412
-3.1314e-05,46.968,-0.23565,-0.50064,13365,-4558.7
2.7978e-05,100.48,-0.78178,-0.41634,-13104,8028
3.1466e-05,13.076,0.37919,0.30086,-40707,-14161
-2.385e-05,42.848,0.7104,0.83538,38941,37820
2.4983e-05,68.709,0.83321,0.6224,-24398,-21320
-7.2664e-06,107.53,1.2433,1.4636,9703.9,43128
-2.1272e-05,132.23,0.71908,1.0584,14739,17369
-1.337e-05,102.28,-1.0458,-1.267,16640,-37693
-3.3266e-05,1.5121,-0.047502,-0.08773,17015,-1073.1
2.7698e-05,268.38,-1.1346,-0.28756,-6600.4,3446.7
-1.5319e-05,82.666,0.99892,1.1909,21894,42082
-7.3333e-06,100.73,1.2449,1.4513,10517,46274
1.1213e-05,78.811,-1.3131,-1.1455,-19042,53112
-1.5761e-06,426.46,-1.0874,1.1693,553.38,-10580
1.7477e-05,62.783,1.0924,0.94288,-30631,-49528
-1.9653e-05,85.402,0.84355,1.0539,22578,30684
3.5554e-06,81.592,1.5465,1.3863,-6345.9,-59143
-1.0261e-06,92.998,-1.4509,1.5073,1671.7,-54287
-2.3844e-05,34.44,0.73055,0.8313,49734,48523
-7.4155e-06,96.173,-1.2552,-1.4471,11194,-48687
1.9059e-05,60.001,-1.0396,-0.89221,-31724,45367
-1.3565e-05,190.18,-0.94647,-1.3708,8961.9,-19591
-1.7393e-05,56.995,0.96149,1.092,34184,55707
1.9897e-05,103.69,1.0696,0.81169,-18722,-24875
2.3694e-05,35.075,0.83941,0.73324,-48700,-48005
3.1339e-05,12.01,0.38314,0.31398,-46683,-16865
1.236e-05,947.89,-0.42054,0.19399,-1928.7,-1369.4
-3.253e-05,9.8135,0.18484,0.27159,24976,5518.2
-1.4786e-05,76.012,-1.028,-1.199,23551,-47321
1.662e-05,59.313,1.1244,0.97903,-31572,-54782
-2.9157e-05,17.093,-0.46792,-0.54355,57793,-31916
-3.2649e-05,2.0047,-0.18599,-0.21353,57704,-11703
-3.2151e-05,15.699,-0.22563,-0.32787,23890,-6452.5
2.9126e-05,31.344,0.57378,0.44565,-33862,-18690
-2.1028e-05,42.711,-0.83583,-0.95001,41827,-51286
1.8178e-05,66.253,1.0729,0.92164,-29615,-45341
3.0482e-05,23.203,0.47908,0.36124,-32914,-14425
-2.8739e-05,34.596,0.46645,0.60366,33600,19608
-2.6596e-05,33.926,-0.59217,-0.71024,41260,-31019
3.496e-06,96.313,-1.5573,-1.3697,-5303.3,50363
3.1556e-05,17.157,-0.38933,-0.27721,-28424,9597.9
3.0929e-05,10.212,-0.41004,-0.35404,-56792,22686
-9.302e-07,141.62,-1.4002,1.4536,972.35,-34838
-3.1597e-05,9.6042,-0.29733,-0.35612,57029,-19160
2.6105e-06,796.26,0.6926,-0.60681,-490.18,3773.7
-3.1128e-05,10.784,-0.33456,-0.40199,54618,-20895
2.5044e-05,55.584,-0.81198,-0.64417,-29302,25524
2.9031e-05,21.844,0.55369,0.47502,-54026,-30386
-1.8658e-05,132.4,0.82135,1.1543,14572,21156
2.6629e-05,31.01,0.69917,0.5899,-45017,-33834
-1.7267e-05,89.357,-0.93094,-1.1342,21572,-35354
1.5041e-05,79.359,1.1956,1.0135,-22457,-44173
-2.3056e-05,36.656,0.75897,0.86066,49423,51454
-3.2001e-05,6.0952,0.25666,0.31536,49140,14298
-2.3877e-05,69.342,-0.68039,-0.87815,25237,-24380
2.2367e-05,43.932,-0.90235,-0.7766,-40396,44437
1.6607e-05,221.9,-1.3233,-0.81034,-8571.2,14268
2.2682e-05,63.397,0.91387,0.73769,-28926,-30892
